id	section	emotion	text	note
N001	ふつう	neutral	おはよう。今日も一緒にマイクラやっていこうね。	
N002	ふつう	neutral	まずは木を切って、作業台を作るところから始めるよ。	
N003	ふつう	neutral	この辺りは平原だから、見晴らしがよくて安心だね。	
N004	ふつう	neutral	石のツルハシができたら、次は鉄を探しに行きたいな。	
N005	ふつう	neutral	夜になる前に、寝る場所を決めておかないとね。	
N006	ふつう	neutral	チェストの中身を少し整理してから出かけるね。	
N007	ふつう	neutral	北のほうに森が見えるから、あっちへ行ってみようかな。	
N008	ふつう	neutral	かまどに生の牛肉を入れて、焼けるのを待ってるところ。	
N009	ふつう	neutral	作物を育てるには、水の近くの土を耕すといいんだって。	
N010	ふつう	neutral	おうちの壁は、オークの板材で作ろうと思ってるよ。	
N011	ふつう	neutral	ドアを付けたら、ゾンビが入ってこなくなるから安心だね。	
N012	ふつう	neutral	洞窟の中は暗いから、たいまつを多めに持っていくね。	
N013	ふつう	neutral	苗木を植えておけば、そのうち木が育つはずだよ。	
N014	ふつう	neutral	ヒツジを見つけたら、羊毛を集めてベッドを作りたいな。	
N015	ふつう	neutral	今日の目標は、おうちを完成させることだよ。	
N016	ふつう	neutral	丸石はあと少しで足りそうだから、もうひと掘りしようかな。	
N017	ふつう	neutral	みんなのコメント、ちゃんと読んでるからね。	
N018	ふつう	neutral	ちょっと遠回りだけど、川沿いを歩いていくね。	
N019	ふつう	neutral	砂利の下は崩れやすいから、気をつけて掘らないと。	
N020	ふつう	neutral	雨が降ってきたね。濡れても気にせず進んじゃおう。	
N021	ふつう	neutral	りんごが落ちてたから、拾っておいたよ。	
N022	ふつう	neutral	ジャガイモとニンジン、どっちを植えようか迷っちゃうな。	
N023	ふつう	neutral	ピッケルじゃなくて、マイクラだとツルハシって言うんだよね。	
N024	ふつう	neutral	ファンタジーっぽいお城も、いつか建ててみたいな。	
N025	ふつう	neutral	ヴィレッジャーさんと取引するには、エメラルドがいるんだって。	
N026	ふつう	neutral	チャットで教えてもらったやり方、さっそく試してみるね。	
N027	ふつう	neutral	東の山の向こうには、まだ行ったことがないんだ。	
N028	ふつう	neutral	スポーン地点から、だいたい三百メートルくらい離れたかな。	
N029	ふつう	neutral	拠点に戻ったら、まず持ち物をチェストにしまうね。	
N030	ふつう	neutral	ティーカップみたいな形の池を見つけたよ。	
N031	ふつう	neutral	夕方になってきたから、そろそろ帰る準備をしよう。	
N032	ふつう	neutral	ベッドで寝ると、朝まで一気に時間が進むんだよ。	
N033	ふつう	neutral	クモの糸があれば、釣り竿も作れるんだって。	
N034	ふつう	neutral	焼き鳥が食べたくなってきちゃった。	
N035	ふつう	neutral	地図を作っておくと、迷子にならなくて便利だね。	
N036	ふつう	neutral	窓にはガラスを使いたいから、砂を集めておこう。	
N037	ふつう	neutral	はしごを掛ければ、高いところにも登れるよ。	
N038	ふつう	neutral	一つずつ片付けていけば、きっと大丈夫。	
N039	ふつう	neutral	今は小麦の種を集めているところだよ。	
N040	ふつう	neutral	鉄のインゴットが三つあれば、バケツが作れるね。	
N041	ふつう	neutral	みんなは建築派？それとも冒険派？	
N042	ふつう	neutral	ぴょんぴょん跳ねながら進むと、ちょっとだけ速いんだよ。	
N043	ふつう	neutral	キノコは暗いところに生えていることが多いんだ。	
N044	ふつう	neutral	チャレンジしてみないと、わからないことって多いよね。	
N045	ふつう	neutral	ジャングルの木は大きいから、原木がたくさん取れそう。	
N046	ふつう	neutral	今日の配信は、だいたい二時間くらいの予定だよ。	
N047	ふつう	neutral	ちょっとお水飲むね。	
N048	ふつう	neutral	えっとね、次はかまどを家の中に置こうと思うんだ。	
N049	ふつう	neutral	道に迷ったら、太陽の向きで方角がわかるんだよ。	
N050	ふつう	neutral	ビーツのスープって、どんな味がするんだろうね。	
N051	ふつう	neutral	ここに畑を作ったら、毎日収穫できるね。	
N052	ふつう	neutral	クリーパーは近づくと爆発するから、距離を取るのが大事なんだ。	
N053	ふつう	neutral	夜のあいだは、地下で鉱石を掘ることにするね。	
N054	ふつう	neutral	ひとりで作業してると、つい独り言が多くなっちゃうね。	
N055	ふつう	neutral	はじめての人も、ゆっくりしていってね。	
N056	ふつう	neutral	この景色、スクリーンショットに残しておきたいな。	
N057	ふつう	neutral	ちょうど日が昇ってきたところだね。	
N058	ふつう	neutral	木のクワより、石のクワのほうが長持ちするんだよ。	
N059	ふつう	neutral	たまには寄り道も楽しいよね。	
N060	ふつう	neutral	それじゃあ、今日はこの辺で終わりにしようかな。	
H001	楽しい	happy	やったー！ついにおうちが完成したよ！	
H002	楽しい	happy	見て見て、ダイヤモンド見つけちゃった！	
H003	楽しい	happy	コメントありがとう！すっごくうれしい！	
H004	楽しい	happy	わあ、ヒツジさんがいっぱいいる！かわいいね！	
H005	楽しい	happy	初めてのベッド、ふかふかで最高だね！	
H006	楽しい	happy	今日はなんだか絶好調かも！	
H007	楽しい	happy	えへへ、ちょっと上手にできたでしょ？	
H008	楽しい	happy	朝日がきれい！今日もいい一日になりそう！	
H009	楽しい	happy	小麦がたくさん育ってる！パンが焼けるね！	
H010	楽しい	happy	みんなのおかげで、ここまで来られたよ！	
H011	楽しい	happy	新しいツルハシ、ぴかぴかで気持ちいい！	
H012	楽しい	happy	村を見つけたよ！ちょっと寄っていこう！	
H013	楽しい	happy	これ、ずっと作ってみたかったんだ！	
H014	楽しい	happy	釣れた！お魚ゲットだよ！	
H015	楽しい	happy	今日の配信、すっごく楽しかったね！	
H016	楽しい	happy	わーい、鉄がこんなに取れた！	
H017	楽しい	happy	そのアイデア、いいね！やってみる！	
H018	楽しい	happy	ふふっ、なんだかワクワクしてきた！	
H019	楽しい	happy	おかえりなさい！待ってたよ！	
